,Variable,Climate,Hue,Season,max,75%,50%,25%,min,std,mean,count
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,"high, > 80 %",summer,1.4708305745957027,1.1911334206741493,1.1303952687599408,1.0497560189457174,0.696773839413081,0.14673384199135397,1.1360973169596484,39.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,"medium, [20-80] %",summer,1.3605782093161425,1.286949572647536,1.2133209359789294,1.1396922993103227,1.0660636626417161,0.20825323311156882,1.2133209359789294,2.0
ETr bias ratio,ETr,BWh + BWk: Hot and cold desert,"low, < 20 %",summer,1.2033927231419141,1.1614435715680846,1.1194944199942554,1.0287170883193077,0.93793975664436,0.1356873234545155,1.0869422999268432,3.0
ETr bias ratio,ETr,Cfa: Humid subtropical,"medium, [20-80] %",summer,1.207725253813603,1.207725253813603,1.207725253813603,1.207725253813603,1.207725253813603,,1.207725253813603,1.0
ETr bias ratio,ETr,Csa + Csb: Hot- and warm-summer Mediterranean,"high, > 80 %",summer,1.707384779347523,1.2533693635742196,1.1872621870284843,1.1265460619010947,0.895973980712786,0.11694991925846272,1.194097554774583,71.0
ETr bias ratio,ETr,Csa + Csb: Hot- and warm-summer Mediterranean,"medium, [20-80] %",summer,1.39161169596945,1.3053410491437005,1.2138388124155934,1.0771630965706822,0.8804697612913537,0.1581139387787985,1.1752825937053812,16.0
ETr bias ratio,ETr,Csa + Csb: Hot- and warm-summer Mediterranean,"low, < 20 %",summer,1.4758640332865325,1.2248779239551884,1.168397422362108,1.0895360472547537,0.9185194933072776,0.12380839501851837,1.1689800416227547,24.0
ETr bias ratio,ETr,Dfa + Dfb: Hot- and warm-summer humid continental,"low, < 20 %",summer,0.8781096381654613,0.8781096381654613,0.8781096381654613,0.8781096381654613,0.8781096381654613,,0.8781096381654613,1.0
ETr bias ratio,ETr,Dfa + Dfb: Hot- and warm-summer humid continental,"high, > 80 %",summer,1.310254889046979,1.1682339421617574,1.0970301855304834,1.0309509232977587,0.9061675576915901,0.1040167943742679,1.1005397973715478,25.0
ETo bias ratio,ETo,BSh + BSk: Hot and cold semi-arid (steppe),"high, > 80 %",summer,1.280360680036312,1.1136757979949505,1.0667683670692862,1.0207530200655521,0.886333607135021,0.07408069933802386,1.0661413594462712,168.0
